4P_Order	Order_date	Shipping_date	Shipping_revenues	Shipping_cost	Carrier/Class	TRK	weight	zip	order_total	Ins
48353	8/16/2019	8/16/2019	29.74	20.64	UPS/UPS Ground	1Z1A1V710392954794	44	60091	424.73	394.99
48355	8/16/2019	8/16/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94076357	1.5	33401	67.65	55.94
48356	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	98168	22.9	19
48359	8/16/2019	8/16/2019	13.69	9.51	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95455525	5.63	32792	98.69	85
48360	8/16/2019	8/16/2019	46.43	21.32	UPS/UPS Ground	1Z1A1V710396037009	47	40242	461.41	414.98
48361	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	98087	68.9	65
48362	8/16/2019	8/16/2019	12.28	16.91	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96970912	10.5	33704	81.28	69
48363	8/16/2019	8/16/2019	12.41	8.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97226475	1.19	80220	98.4	85.99
48364	8/16/2019	8/16/2019	12.28	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97162641	1.75	20170	57.24	44.96
48365	8/16/2019	8/16/2019	0	11.59	UPS/UPS Ground	1Z1A1V710399658860	0.94	76903	0	0
48366	8/16/2019	8/16/2019	0	11.6	UPS/UPS Ground	1Z1A1V710398926652	0.94	80022	0	0
48367	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	55443	22.88	18.98
48368	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	46804	68.9	65
48369	8/16/2019	8/16/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99998245	1.13	60613	45.67	39.95
48370	8/16/2019	8/16/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93492408	1.81	11764	115.94	104
48371	8/16/2019	8/16/2019	15.26	10.6	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98707051	4.31	85041	125.21	109.95
48373	8/16/2019	8/16/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710391852431	2.06	31322	171.36	141.98
48374	8/16/2019	8/16/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710392729171	0.81	78747	86.69	70
48375	8/16/2019	8/16/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95875778	1.56	55901	56.91	44.97
48382	8/16/2019	8/16/2019	12.41	8.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96667965	1.19	80205	89.8	85.99
48377	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	89104	23.89	19.99
48378	8/16/2019	8/16/2019	13.91	9.66	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW91225272	6.63	62650	181.85	167.94
48380	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	93306	25.89	21.99
48381	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	03079	43.88	39.98
48476	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	54220	17.89	13.99
48383	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	03079	13.89	9.99
48384	8/16/2019	8/16/2019	20.87	14.49	UPS/UPS Ground	1Z1A1V710392788456	6.13	94131	364.82	343.95
48385	8/16/2019	8/16/2019	10.97	7.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97701700	1.19	32162	96.96	85.99
48386	8/16/2019	8/16/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99825485	1.19	11942	97.93	85.99
48387	8/16/2019	8/16/2019	13.44	9.33	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98368178	3.25	78577	79.41	65.97
48388	8/16/2019	8/16/2019	0	11.6	UPS/UPS Ground	1Z1A1V710399306169	1.38	11743	0	0
48389	8/16/2019	8/16/2019	10.09	7.01	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96557146	1.75	29651	81.08	80.99
48390	8/16/2019	8/16/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98428219	1.38	97212	81.04	67.95
48391	8/16/2019	8/16/2019	41.34	28.71	UPS/UPS Next Day Air	1Z1A1V710190601127	0.44	03907	88.33	46.99
48392	8/16/2019	8/16/2019	16.63	11.55	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99214091	3.38	87301	101.57	84.94
48393	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	48047	23.88	19.98
48394	8/16/2019	8/16/2019	25.47	12.43	UPS/UPS Ground	1Z1A1V710397936858	11	33605	98.46	72.99
48396	8/16/2019	8/16/2019	0	15.5	UPS/UPS Ground	1Z1A1V710398250015	0.63	06281	0	0
48397	8/16/2019	8/16/2019	12.28	8.53	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98462584	2.56	33704	157.27	144.99
48398	8/16/2019	8/16/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95969579	1.19	60616	97.7	85.99
48399	8/16/2019	8/16/2019	29.33	13.12	UPS/UPS Ground	1Z1A1V710395691894	11	02780	102.32	72.99
48400	8/16/2019	8/16/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710397551531	1.5	43201	65.68	48.99
48401	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	95118	28.54	28.99
48403	8/16/2019	8/16/2019	12.28	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99361548	1.25	27713	38.25	25.97
48404	8/16/2019	8/16/2019	15.29	10.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98502156	3.06	90650	122.25	106.96
48405	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	20003	19.89	15.99
48417	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	37033	13.89	9.99
48406	8/16/2019	8/16/2019	55.2	37.75	UPS/UPS Ground	1Z1A1V710397813883	44	92262	410.69	394.99
48407	8/16/2019	8/16/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710397019938	0.75	97702	59.68	42.99
48408	8/16/2019	8/16/2019	10.41	7.23	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96547924	1	20016	72.39	61.98
48409	8/16/2019	8/16/2019	30.23	20.99	UPS/UPS 2nd Day Air	1Z1A1V710296779344	2.75	39562	191.22	160.99
48410	8/16/2019	8/16/2019	13.09	7.58	UPS/UPS SurePost Less than 1 lb	1Z1A1V71YN99434128	0.75	97401	63.04	49.95
48411	8/16/2019	8/16/2019	11.61	7.93	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98087221	2.5	27455	63.56	51.95
48412	8/16/2019	8/16/2019	13.91	9.51	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93865523	5.75	62002	219.81	205.9
48413	8/16/2019	8/16/2019	55.2	37.75	UPS/UPS Ground	1Z1A1V710399038879	44	91784	450.19	394.99
48415	8/16/2019	8/16/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW90834946	1.25	95015	73.05	59.96
48418	8/16/2019	8/16/2019	18.55	12.88	UPS/UPS Ground	1Z1A1V710394177479	2.5	94804	100.48	81.93
48419	8/16/2019	8/16/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710399327315	1.63	80503	145.68	128.99
48420	8/16/2019	8/16/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94594896	1.06	15210	55.76	48.95
48421	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	78230	23.89	19.99
48422	8/16/2019	8/16/2019	57.66	57.98	UPS/UPS Ground	1Z1A1V710393593324	46.56	74930	587.63	264.99
48423	8/16/2019	8/16/2019	13.44	9.33	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94964503	3.25	08060	154.42	140.98
48424	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	01040	43.89	39.99
48425	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	47630	41.89	37.99
48426	8/16/2019	8/16/2019	14.79	10.27	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96362105	2	64060	138.79	124
48427	8/16/2019	8/16/2019	12.87	8.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95642288	3.13	20815	100.83	87.96
48428	8/16/2019	8/16/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93316483	1.5	18411	61.91	49.97
48429	8/16/2019	8/16/2019	16.95	11.77	UPS/UPS Ground	1Z1A1V710395096297	2.38	19147	97.02	88.97
48430	8/16/2019	8/16/2019	12.28	8.53	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96935264	3	33710	32.27	19.99
48431	8/16/2019	8/16/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93609318	1.75	20170	93.66	81.95
48432	8/16/2019	8/16/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94569422	1.44	43016	45.68	33.97
48434	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	90404	43.89	39.99
48435	8/16/2019	8/16/2019	10.09	7.01	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94956601	1.88	30316	76.76	60.98
48437	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	28205	23.89	19.99
48438	8/16/2019	8/16/2019	29.33	13.12	UPS/UPS Ground	1Z1A1V710399813469	11	78757	102.32	72.99
48439	8/16/2019	8/16/2019	17.08	11.86	UPS/UPS Ground	1Z1A1V710399547391	3.38	15220	186	168.92
48440	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	31707	29.04	22.99
48441	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	10012	66	69
48442	8/16/2019	8/16/2019	31.48	16.96	UPS/UPS Ground	1Z1A1V710290284586	0.44	907	53.47	21.99
48443	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	07013	28.9	25
48445	8/16/2019	8/16/2019	15.67	15.77	UPS/UPS 2nd Day Air	1Z1A1V710297487032	1.19	14604	101.66	85.99
48446	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	75219	33.87	29.97
48449	8/16/2019	8/16/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710393772658	0.81	63119	79.68	72.98
48450	8/16/2019	8/16/2019	12.28	8.53	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW92235090	2.63	65202	177.25	164.97
48451	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	94131	23.89	19.99
48452	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	60607	42.88	38.98
48453	8/16/2019	8/16/2019	10.09	6.8	UPS/UPS SurePost Less than 1 lb	1Z1A1V71YN97527451	0.81	37208	70.04	59.95
48454	8/16/2019	8/16/2019	25.47	12.43	UPS/UPS Ground	1Z1A1V710395410982	11	60657	98.46	72.99
48455	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	60657	21.9	18
48456	8/16/2019	8/16/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW91354990	1.69	10704	105.9	93.96
48457	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.81	80014	58.89	54.99
48458	8/16/2019	8/16/2019	0	11.59	UPS/UPS Ground	1Z1A1V710394601367	1.38	32806	0	0
48459	8/16/2019	8/16/2019	14.31	9.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97900441	2.13	91504	85.3	70.99
48460	8/16/2019	8/16/2019	10.31	7.01	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97748081	1.81	30083	62.84	46.99
48461	8/16/2019	8/16/2019	15.91	11.05	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99237254	3	74930	35.9	19.99
48462	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	18446	23.89	19.99
48463	8/16/2019	8/16/2019	21.48	14.65	UPS/UPS Ground	1Z1A1V710395921028	2.88	33897	188.43	166.95
48464	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	75235	25.89	21.99
48465	8/16/2019	8/16/2019	11.71	7.23	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97341975	1	20003	45.68	33.97
48466	8/16/2019	8/16/2019	10.97	7.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95104369	1.19	32176	71.94	60.97
48467	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	32934	32.88	28.98
48468	8/16/2019	8/16/2019	13.44	9.33	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96338490	3.44	75235	100.43	86.99
48469	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	55124	35.88	31.98
48471	8/16/2019	8/16/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710391788636	0.81	80525	86.69	69.99
48472	8/16/2019	8/16/2019	12.28	8.53	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95694133	2.13	44070	64.23	51.95
48473	8/16/2019	8/16/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96469590	1.5	53202	147.93	135.99
48474	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	60614	23.89	19.99
48477	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	30307	78.72	68.99
48478	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	75146	23.88	19.98
48480	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	64131	20.88	16.98
48481	8/16/2019	8/16/2019	13.33	9.26	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98091270	4.94	46202	144.29	130.96
48482	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	30341	35.53	29
48483	8/16/2019	8/16/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710392457518	0.44	77054	65.69	49
48484	8/16/2019	8/16/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	15237	23.89	19.99
48569	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.13	53188	13.89	9.99
48495	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	92234	19.89	15.99
48496	8/16/2019	8/17/2019	29.33	13.12	UPS/UPS Ground	1Z1A1V710395751793	11	79416	102.32	72.99
48692	8/17/2019	8/17/2019	22.55	15.66	UPS/UPS 2nd Day Air	1Z1A1V710290125006	0.75	79407	65.54	42.99
48513	8/16/2019	8/17/2019	15.29	10.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93369560	3.25	95842	46.27	30.98
48549	8/16/2019	8/17/2019	18.06	12.54	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW91633572	8.31	12583	258.02	239.96
48486	8/16/2019	8/17/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99049869	1.38	77008	43.91	31.97
48487	8/16/2019	8/17/2019	0	11.77	UPS/UPS Ground	1Z1A1V710396755439	2.38	64113	0	0
48488	8/16/2019	8/17/2019	17.28	12.88	UPS/UPS Ground	1Z1A1V710396902896	2.06	97006	172.26	154.98
48490	8/16/2019	8/17/2019	12.87	9.49	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99886526	2.06	85323	52.86	39.99
48492	8/16/2019	8/17/2019	25.47	12.43	UPS/UPS Ground	1Z1A1V710395922536	11	34743	91.16	72.99
48493	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	36301	25.89	21.99
48494	8/16/2019	8/17/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96458968	1.19	99352	99.08	85.99
48497	8/16/2019	8/17/2019	15.29	10.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95363357	3.56	93704	179.27	163.98
48498	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	45202	28.9	25
48499	8/16/2019	8/17/2019	13.33	8.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97672546	3.5	43207	104.24	90.91
48500	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	72202	15.89	11.99
48501	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	97386	12.89	8.99
48503	8/16/2019	8/17/2019	13.72	9.53	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99328334	1.75	30103	64.49	45.99
48505	8/16/2019	8/17/2019	14.31	9.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98180763	2.44	94110	140.28	125.97
48506	8/16/2019	8/17/2019	19.32	13.42	UPS/UPS Ground	1Z1A1V710398199386	9.25	04083	76.32	57
48507	8/16/2019	8/17/2019	12.77	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97880320	2.56	53548	125.26	124.99
48510	8/16/2019	8/17/2019	10.97	7.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97062508	1.44	38301	159.96	148.99
48511	8/16/2019	8/17/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98383679	1.69	62002	77.66	65.95
48512	8/16/2019	8/17/2019	22.71	15.66	UPS/UPS 2nd Day Air	1Z1A1V710295940698	0.56	19801	140.71	118
48514	8/16/2019	8/17/2019	15.57	10.81	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99099627	1.38	03261	58.55	42.98
48515	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2613E+25	1	79925	37.89	33.99
48517	8/16/2019	8/17/2019	48.72	33.31	UPS/UPS Ground	1Z1A1V710390481629	44	59917	443.71	394.99
48518	8/16/2019	8/17/2019	55.2	37.75	UPS/UPS Ground	1Z1A1V710393409676	44	92262	450.19	394.99
48519	8/16/2019	8/17/2019	18.55	12.88	UPS/UPS Ground	1Z1A1V710391052902	2.88	98103	161.51	142.96
48520	8/16/2019	8/17/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96588005	1.63	92262	95.03	81.94
48521	8/16/2019	8/17/2019	33.18	22.88	UPS/UPS 2nd Day Air	1Z1A1V710298396192	2.75	98103	175.18	142
48522	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.13	86305	10.89	6.99
48525	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	98126	41.89	37.99
48526	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	12306	43.89	39.99
48527	8/16/2019	8/17/2019	22.71	15.66	UPS/UPS 2nd Day Air	1Z1A1V710294044757	1.75	02134	136.7	113.99
48528	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	21237	25.89	21.99
48529	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.19	43203	35.89	31.99
48530	8/16/2019	8/17/2019	16.04	11.14	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW90836739	1.44	57622	44.03	27.99
48531	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.38	11435	38.89	34.99
48532	8/16/2019	8/17/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95533584	1.19	89509	99.08	85.99
48533	8/16/2019	8/17/2019	12.87	8.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96100576	1.75	84104	90.83	77.96
48534	8/16/2019	8/17/2019	14.31	9.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97012759	2.25	90044	114.29	99.98
48536	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	77219	20.9	17
48550	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	22408	34.88	30.98
48566	8/16/2019	8/17/2019	13.67	9.49	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97082559	2.19	84095	64.64	50.97
48538	8/16/2019	8/17/2019	15.91	11.05	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99496484	2.25	71275	171.87	155.96
48539	8/16/2019	8/17/2019	17.28	12	UPS/UPS Ground	1Z1A1V710399061914	1.5	92116	123.25	105.97
48540	8/16/2019	8/17/2019	20.56	16.53	UPS/UPS Ground	1Z1A1V710397087605	22.56	64113	225.49	204.93
48541	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	75238	43.89	39.99
48542	8/16/2019	8/17/2019	22.71	15.66	UPS/UPS 2nd Day Air	1Z1A1V710299813425	1.13	28562	60.71	38
48543	8/16/2019	8/17/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710397303746	1.25	44057	91.67	74.98
48544	8/16/2019	8/17/2019	51.96	24.86	UPS/UPS Ground	1Z1A1V710393155244	47	02062	466.94	414.98
48545	8/16/2019	8/17/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710398802900	0.75	95128	51.67	34.98
48557	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	37659	43.89	39.99
48546	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	94110	49.88	45.98
48547	8/16/2019	8/17/2019	22.71	15.66	UPS/UPS 2nd Day Air	1Z1A1V710299387851	0.81	29492	64.7	41.99
48548	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	80220	52.9	49
48551	8/16/2019	8/17/2019	12.87	8.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95741019	1.63	85262	35.85	22.98
48552	8/16/2019	8/17/2019	22.71	15.66	UPS/UPS 2nd Day Air	1Z1A1V710296957802	2.69	29420	166.68	143.97
48553	8/16/2019	8/17/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710395393993	0.63	99201	53.67	36.98
48554	8/16/2019	8/17/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93595146	1.31	19130	98.91	86.97
48555	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	59718	50.9	47
48558	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	78745	33.88	29.98
48559	8/16/2019	8/17/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710398605945	0.56	20794	46.67	29.97
48560	8/16/2019	8/17/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95957475	1.81	97005	62.04	48.95
48561	8/16/2019	8/17/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95784849	1.44	25403	39.7	27.99
48562	8/16/2019	8/17/2019	21.1	14.65	UPS/UPS Ground	1Z1A1V710396922810	1.75	05001	78.09	56.99
48565	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.19	78731	31.89	27.99
48567	8/16/2019	8/17/2019	22.71	15.66	UPS/UPS 2nd Day Air	1Z1A1V710298323715	2.19	30016	224.32	184.99
48568	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	94577	52.9	49
48570	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.19	20794	18.88	14.98
48571	8/16/2019	8/17/2019	17.12	11.37	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96577651	5.44	91977	195.07	177.95
48572	8/16/2019	8/17/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96954378	1.63	11103	55.9	43.96
48576	8/16/2019	8/17/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710394508889	1.69	30339	78.57	65.95
48573	8/16/2019	8/17/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710395052708	1.19	30308	110.89	85.99
48574	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.19	88001	12.89	8.99
48577	8/16/2019	8/17/2019	12.12	8.42	UPS/UPS Ground	1Z1A1V710397225090	0.94	10039	46.1	33.98
48662	8/17/2019	8/17/2019	66.07	19.21	UPS/UPS Ground	1Z1A1V710396899178	14	98136	224.05	157.98
48592	8/17/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	14218	52.9	49
48578	8/16/2019	8/17/2019	12.12	8.42	UPS/UPS Ground	1Z1A1V710398476737	1.19	71105	98.11	85.99
48580	8/16/2019	8/17/2019	12.77	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW91761611	2.38	78746	117.74	114.97
48582	8/16/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	30683	15	9.99
48583	8/17/2019	8/17/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW92355291	1.31	11372	74.9	62.96
48584	8/17/2019	8/17/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95827785	1.63	11101	55.9	43.96
48586	8/17/2019	8/17/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710396719219	0.75	98327	59.68	42.99
48593	8/17/2019	8/17/2019	12.12	8.42	UPS/UPS Ground	1Z1A1V710393505777	2.5	48207	64.06	51.94
48588	8/17/2019	8/17/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710398945828	0.69	30040	76.35	53.99
48590	8/17/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	92691	13.89	9.99
48594	8/17/2019	8/17/2019	15.94	11.07	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW92092931	1.25	83843	85.9	69.96
48595	8/17/2019	8/17/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	77536	22.88	18.98
